Customer Name,CSM Name,Renewal Date,Health Score,Open Support Tickets,Last CSM Touch Date,Product Adoption %,ARR,Tier ,Active Modules,Staircase Insights,CSM Notes
Central Valley Water Authority,Priya Kapoor,46437,76,1,46158,83,36000,Tier 3,"eProcurement, Sourcing, Contracts, AP Automation, Catalog Management, Spend Analytics",Very high health score and strong adoption reflect deep platform value realization. Expansion and multi-year renewal discussions should be prioritized.,Open task: schedule annual executive business review. Renewal terms agreed; expansion proposal being drafted. Cross-functional usage across the platform.
Silverstone Financial Services,Priya Kapoor,46397,78,1,46160,85,400000,Tier 1,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Invoicing",Account is highly engaged with broad module adoption and minimal friction. Renewal is virtually certain; expansion discovery is the top priority.,Customer is a go-to reference for mid-market prospects. Open task: finalize co-authored case study. Multi-year renewal active. No open issues.
Horizon Aerospace,Priya Kapoor,46427,80,0,46162,88,450000,Tier 1,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Spend Analytics",Outstanding health and adoption metrics with zero open tickets. This account represents a flagship success story and strong expansion opportunity.,Customer co-presented with JAGGAER at an industry conference this year. Expansion underway for two additional business units. No open tasks.
Heritage University System,Priya Kapoor,46477,87,1,46161,91,50000,Tier 3,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Catalog Management, Spend Analytics","Account is a top performer with near-perfect adoption and no support issues. Ideal for executive business reviews, references, and co-marketing.",C-level executive sponsorship in place. Customer actively involved in product advisory board. Open task: prepare EBR deck for CEO meeting next month. Renewal is multi-year.
Pinnacle Technology Corp,Priya Kapoor,46467,89,0,46164,93,700000,Tier 1,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Catalog Management, Spend Analytics, Invoicing","Exceptional health across all indicators. Customer has fully adopted the platform and is a strong candidate for expansion, advocacy, and co-innovation.",Participating in early access program for new AI features. Open task: collect beta feedback. Renewal and expansion secured.
Greenfield Biotech,Priya Kapoor,46487,92,0,46165,95,850000,Tier 1,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Catalog Management, Spend Analytics, Invoicing","Account represents peak health and adoption. A model customer for the platform; prioritize executive engagement, expansion, and thought leadership opportunities.",Co-innovation partner and key reference account. No open issues. Open task: plan joint press release for new use case. Highest health and adoption in the portfolio.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
